社員ID,姓,セイ,family_name,名,メイ,first_name,性別,住所,生年月日,所属課
11455,河合,カワイ,kawai,勇,ユウ,Yuu,女,6008449 京都府 京都市下京区 富永町,1982-05-04,営業二課
11464,水島,ﾐｽﾞｼﾏ,mizushima,朝陽(アサヒ),アサヒ,asahi,女,6150085 京都府 京都市右京区 山ノ内中畑町,1981-01-15,営業二課
11541,喜多,ｷﾀ,kita,麗奈,レナ,rena,女,4040042 山梨県 甲州市 塩山上於曽,1993-07-23,営業三課
11572,早川,ハヤカワ,hayakawa,祐一,ユウイチ,yuuichi,男,8760047 大分県 佐伯市 鶴岡西町,2000-06-08,営業一課
11623,溝口,ミゾグチ,mizoguchi,沙知絵,サチエ,Sachie,女,6390251 奈良県 香芝市 逢坂,1976-08-05,営業一課
11627,多岐川,タキガワ,takigawa,人志,ヒトシ,hitoshi,男,6210018 京都府 亀岡市 大井町小金岐,1990-02-16,営業一課
11632,戸塚,トヅカ,toduka,文世,フミヨ,Fumiyo,女,7160102 岡山県 高梁市 成羽町上日名,1989-06-28,営業二課
11670,神崎,ｶﾝｻﾞｷ,kanzaki,怜奈,レイナ,reina,女,7840033 高知県 安芸市 赤野甲,1995-07-19,営業一課
11739,水嶋,ミズシマ,mizushima,知世,チセ,Chise,女,5150812 三重県 松阪市 船江町,1968-04-27,営業五課
11837,大倉,ｵｵｸﾗ,ookura,璃子,リコ,riko,女,7810245 高知県 高知市 長浜蒔絵台,1997-05-04,営業五課
11894,大島,ｵｵｼﾏ,ooshima,人志,ヒトシ,hitoshi,男,5150045 三重県 松阪市 駅部田町,1987-11-03,営業五課
11900,菊地,キクチ,kikuchi,敦,アツシ,atsushi,男,5730005 大阪府 枚方市 池之宮,1992-11-17,営業一課
11928,松下,マツシタ,matsushita,恵梨香,エリカ,erika,女,9390341 富山県 射水市 三ケ,1991-03-14,営業三課
11971,北川,キタガワ,kitagawa,光洋,ミツヒロ,Mitsuhiro,男,7440001 山口県 下松市 笠戸島,1985-07-24,営業二課
11973,川田,カワタ,kawata,なつみ,ナツミ,Natsumi,女,6148082 京都府 八幡市 八幡菖蒲池,1992-10-06,営業三課
11988,安達,アダチ,adachi,(名:)理紗,リサ,risa,女,5193602 三重県 尾鷲市 天満浦,1968-05-17,営業四課
12006,橋本,ﾊｼﾓﾄ,hashimoto,一,ハジメ,Hajime,男,5020924 岐阜県 岐阜市 旦島宮町,1991-01-28,営業一課
12082,朝倉,ｱｻｸﾗ,asakura,ひろ子,ヒロコ,hiroko,女,6460029 和歌山県 田辺市 東陽,2001-11-05,営業一課
12180,向井,ムライ,murai,美智子,ミチコ,michiko,女,9920053 山形県 米沢市 松が岬,1991-05-30,営業三課
12240,井手,イデ,ide,賢治,ケンジ,kenji,男,6350152 奈良県 高市郡高取町 上土佐,1971-11-27,営業二課
12273,尾形,オガタ,ogata,玲那,レナ,Rena,女,7580043 山口県 萩市 上五間町,1982-09-29,営業一課
12293,畑中,ﾊﾀﾅｶ,hatanaka,涼,リョウ,ryou,女,2640031 千葉県 千葉市若葉区 愛生町,1984-07-07,営業二課
12308,北川,キタガワ,kitagawa,(名:)怜奈,レイナ,reina,女,6638015 兵庫県 西宮市 野間町,2001-11-06,営業一課
12326,早坂,ハヤサカ,hayasaka,莉央,リオ,rio,女,5230026 滋賀県 近江八幡市 上畑町,1984-05-17,営業二課
12345,河合,ｶﾜｲ,kawai,照生,テルオ,teruo,男,6078062 京都府 京都市山科区 音羽珍事町,1980-04-25,営業二課
12358,八木,ヤギ,yagi,功補,コウスケ,kousuke,男,9860872 宮城県 石巻市 田道町,1971-10-28,営業一課
12375,寺島,ﾃﾗｼﾞﾏ,terajima,沙耶,サヤ,Saya,女,8891803 宮崎県 都城市 山之口町山之口,1989-02-10,営業三課
12383,仲村,ﾅｶﾑﾗ,nakamura,一徳,イットク,ittoku,男,2992507 千葉県 南房総市 大井,1993-07-30,営業二課
12450,塚原,ツカハラ,tsukahara,恭子,キョウコ,kyouko,女,9320315 富山県 砺波市 庄川町示野,1971-06-08,営業一課
12474,前川,マエカワ,maekawa,優,ユウ,yuu,男,6800436 鳥取県 八頭郡八頭町 山路,1968-09-28,営業二課
12508,前川,マエカワ,maekawa,崇史,タカシ,Takashi,男,5610884 大阪府 豊中市 岡町北,1999-06-05,営業五課
12548,松下,ﾏﾂｼﾀ,matsushita,妃里,ユリ,yuri,女,9902333 山形県 山形市 蔵王飯田,1976-10-31,営業五課
12568,河田,カワタ,kawata,奈々,ナナ,nana,女,6008207 京都府 京都市下京区 上之町,1979-01-25,営業四課
12595,北,ｷﾀ,kita,信吾,シンゴ,shingo,男,9300081 富山県 富山市 本丸,1978-10-07,営業一課
12609,川井,カワイ,kawai,晋也,シンヤ,shinya,男,9370835 富山県 魚津市 大熊,1979-08-03,営業二課
12668,手塚,テヅカ,teduka,優,ユウ,yuu,女,6038484 京都府 京都市北区 衣笠氷室町,1982-03-04,営業四課
12701,長澤,ナガサワ,nagasawa,路子(ミチコ),ミチコ,michiko,女,9301274 富山県 富山市 大双嶺,1998-01-16,営業二課
12776,とよた,ﾄﾖﾀ,toyota,まなみ,マナミ,Manami,女,0287564 岩手県 八幡平市 谷地田,2000-02-27,営業四課
12790,坂元,サカモト,syakamoto,真悠子,マユコ,mayuko,女,5610844 大阪府 豊中市 利倉西,1975-06-14,営業一課
12801,鶴岡,ツルオカ,tsuruoka,さやか,サヤカ,sayaka,女,7890314 高知県 長岡郡大豊町 日浦,1978-05-10,営業五課
12817,とよた,ﾄﾖﾀ,toyota,崇史,タカシ,Takashi,男,6752243 兵庫県 加西市 中西町,1990-04-23,営業三課
12822,安藤,アンドウ,anndou,沙知絵,サチエ,sachie,女,9810301 宮城県 東松島市 牛網,1995-05-11,営業三課
12858,坂元,サカモト,sakamoto,了(リョウ),リョウ,Ryou,男,5093201 岐阜県 高山市 久々野町大西,1972-08-06,営業三課
12882,山元,ヤマモト,yamamoto,ヒカル,ヒカル,hikaru,女,5010628 岐阜県 揖斐郡揖斐川町 新宮,1979-06-22,営業五課
12904,本田,ﾎﾝﾀﾞ,honnda,賢二,ケンジ,Kenji,男,8760843 大分県 佐伯市 中の島,1996-11-28,営業一課
12938,哀川,アイカワ,aikawa,憲一,ケンイチ,Kenichi,男,6370092 奈良県 五條市 岡町,1981-04-30,営業三課
13080,安部,アベ,abe,明,アキラ,Akira,男,8574707 長崎県 北松浦郡小値賀町 班島郷,1972-09-30,営業五課
13135,藤沢,フジサワ,fujisawa,育二(イクジ),イクジ,Ikuji,男,4000316 山梨県 南アルプス市 中野,1978-10-30,営業五課
13169,安倍,ｱﾍﾞ,abe,精児,セイジ,seiji,男,7692604 香川県 東かがわ市 西村,1981-05-10,営業三課
13176,大倉,オオクラ,ookura,一,ハジメ,hajime,男,5100874 三重県 四日市市 河原田町,1992-06-11,営業二課
13208,井手,イデ,ide,直人,ナオト,Naoto,男,1810011 東京都 三鷹市 井口,1973-04-20,営業一課
13231,阪本,サカモト,sakamdoto,美優,ミュウ,Myuu,女,5130018 三重県 鈴鹿市 上田町,1996-11-01,営業三課
13259,小島,コジマ,kojima,育二,イクジ,Ikuji,男,3812222 長野県 長野市 金井田,1983-11-21,営業五課
13294,臼井,ウスイ,usui,敦,アツシ,atsushi,男,0368211 青森県 弘前市 相良町,1974-05-19,営業二課
13327,高畑,タカバタ,takabata,(名前)功補,コウスケ,kousuke,男,9650128 福島県 会津若松市 北会津町十二所,1976-03-31,営業二課
13361,竹中,ﾀｹﾅｶ,takenaka,晋也,シンヤ,Shinya,男,5008315 岐阜県 岐阜市 島田東町,1976-02-07,営業一課
13367,浦野,ウラノ,urano,宏行,ヒロユキ,hiroyuki,男,5960801 大阪府 岸和田市 箕土路町,1988-09-09,営業四課
13380,小玉,コダマ,kodama,莉央,リオ,Rio,女,9806027 宮城県 仙台市青葉区 中央ＳＳ３０住友生命仙台中央ビル,1998-11-04,営業三課
13401,永島,ナガシマ,nagashima,晃司,コウジ,Kouji,男,6008320 京都府 京都市下京区 福本町,1995-04-23,営業五課
13410,河野,ｺｳﾉ,kouno,七世,ナナセ,nanase,女,6730435 兵庫県 三木市 別所町高木,1975-12-17,営業四課
13417,臼井,ウスイ,usui,敦,アツシ,Atsushi,男,5900073 大阪府 堺市堺区 南向陽町,1978-09-21,営業二課
13421,日下,ヒノシタ,hinoshita,隼士(下の名前),シュンジ,shunji,男,8570051 長崎県 佐世保市 浜田町,1978-01-25,営業五課
13438,朝倉,ｱｻｸﾗ,asakura,(名前)有海,アミ,Ami,女,8113516 福岡県 宗像市 公園通り,1986-08-10,営業二課
13439,山内,ヤマノウチ,yamanouchi,正敏,マサトシ,masatoshi,男,8780201 大分県 竹田市 久住町久住,1968-06-25,営業五課
13479,小山,オヤマ,oyama,浩太郎(- 名),コウタロウ,koutarou,男,6011425 京都府 京都市伏見区 日野田中町,1982-06-30,営業五課
13536,大島,オオシマ,ooshima,博之,ヒロユキ,hiroyuki,男,9230004 石川県 小松市 長崎町,1978-12-02,営業五課
13592,酒井,サカイ,sakai,一徳,イットク,ittoku,男,7094324 岡山県 勝田郡勝央町 為本,1974-10-07,営業二課
13595,河田,ｶﾜﾀ,kawata,夏希,ナツキ,natsuki,女,3240605 栃木県 那須郡那珂川町 大内,1987-01-16,営業五課
13625,溝口,ミゾグチ,mizzoguchi,サンタマリア,サンタマリア,Stmaria,男,1010041 東京都 千代田区 神田須田町,1983-11-25,営業四課
13626,高畑,ﾀｶﾊﾀ,takahata,育子,イクコ,Ikuko,女,9300336 富山県 中新川郡上市町 松和町,1998-12-05,営業五課
13683,瀬尾,セオ,seo,紗季,サキ,saki,女,3888002 長野県 長野市 篠ノ井東福寺,1972-11-06,営業二課
13704,安倍,ｱﾍﾞ,abe,祐一,ユウイチ,yuuichi,男,8800007 宮崎県 宮崎市 原町,1985-06-16,営業三課
13709,河西,ｶﾜﾆｼ,kawanishi,瞬,シュン,Shun,女,9230181 石川県 小松市 長谷町,1977-06-29,営業三課
13721,澤田,サワダ,sawada,隆,タカシ,takashi,男,9637708 福島県 田村郡三春町 栗林,1986-06-11,営業五課
13822,村松,ムラマツ,muramatsu,守,マモル,mamoru,男,5670805 大阪府 茨木市 橋の内,2000-11-28,営業三課
13842,深井,フカイ,fukai,奈々(ナナ),ナナ,nana,女,3040050 茨城県 下妻市 亀崎,1970-09-15,営業三課
13915,峰,ミネ,mine,慶二,ケイジ,Keiji,男,7816438 高知県 安芸郡安田町 小川,1987-04-29,営業五課
14001,安倍,ｱﾍﾞ,abe,博之(_名前),ヒロユキ,hiroyuki,男,0382818 青森県 つがる市 森田町大館,1980-02-09,営業五課
14054,安達,アダチ,adachi,将也,マサヤ,masaya,男,5780982 大阪府 東大阪市 吉田本町,1968-01-21,営業二課
14065,多岐川,ﾀｷｶﾞﾜ,takigawa,(名-)ひとみ,ヒトミ,hitomi,女,2701506 千葉県 印旛郡栄町 龍角寺,1983-05-24,営業三課
14068,秋本,アキモト,akimoto,祐一(_名前),ユウイチ,yuuichi,男,1420043 東京都 品川区 二葉,1995-03-11,営業四課
14111,北,キタ,kita,沙耶,サヤ,Saya,女,5110843 三重県 桑名市 太平町,1990-02-18,営業三課
14150,久保田,クボタ,kubota,亮,リョウ,ryou,男,0260412 岩手県 釜石市 栗林町,1989-02-02,営業四課
14152,葛西,カサイ,kasai,(名前)莉緒,リオ,rio,女,6008040 京都府 京都市下京区 安土町,1988-05-14,営業一課
14181,西井,ﾆｼｲ,nishii,涼,リョウ,ryou,女,7984205 愛媛県 南宇和郡愛南町 船越,1972-01-27,営業五課
14184,高樹,ﾀｶｷﾞ,takagi,耕司,コウジ,kouji,男,7090861 岡山県 岡山市東区 瀬戸町瀬戸,1970-08-21,営業四課
14192,土居,ドイ,doi,恵美(下の名前),メグミ,Megumi,女,2510053 神奈川県 藤沢市 本町,1984-10-09,営業五課
14217,妹尾,セオ,seo,瞬,シュン,shun,男,6200004 京都府 福知山市 川北,1997-01-07,営業五課
14235,井出,イデ,ide,宏,ヒロシ,Hiroshi,男,5010611 岐阜県 揖斐郡揖斐川町 小谷,1981-06-20,営業二課
14266,深井,フカイ,fukai,直人(_名前),ナオト,Naoto,男,1540014 東京都 世田谷区 新町,1978-12-14,営業五課
14328,萩原,ﾊｷﾞﾜﾗ,hagiwara,勇,ユウ,Yuu,女,6078498 京都府 京都市山科区 日ノ岡石塚町,1972-03-06,営業二課
14421,上山,カミヤマ,kamiyama,早紀,サキ,Saki,女,0300113 青森県 青森市 第二問屋町,1976-04-11,営業四課
14494,井手,イデ,ide,慶二,ケイジ,keiji,男,6760814 兵庫県 高砂市 春日野町,1994-02-06,営業三課
14504,志水,シミズ,shimizu,勇,ユウ,yuu2,女,6290163 京都府 南丹市 八木町玉ノ井,1997-10-05,営業三課
14557,熊谷,クマガヤ,kumagaya,隼士,シュンジ,shunji,男,5150823 三重県 松阪市 阿形町,1985-09-04,営業五課
14580,高畑,ﾀｶﾊﾀ,takahata,みき,ミキ,miki,女,5031612 岐阜県 大垣市 上石津町谷畑,1986-09-01,営業三課
14585,土谷,ツチヤ,tsuchiya,慶二(first),ケイジ,Keiji,男,8010824 福岡県 北九州市門司区 丸山吉野町,1979-09-27,営業二課
14656,境,サカイ,sakai,精児,セイジ,seiji,男,8710903 福岡県 築上郡上毛町 八ツ並,1970-05-13,営業一課
14674,安達,ｱﾀﾞﾁ,adachi,奈月,ナツキ,natsuki,女,7541277 山口県 山口市 阿知須,1991-10-15,営業三課
14727,若杉,ワカスギ,wakasugi,晋也(シンヤ),シンヤ,shinya,男,9220834 石川県 加賀市 美谷が丘,1992-08-02,営業三課
14752,寺島,テラシマ,terashima,明,アキラ,akira,男,3940034 長野県 岡谷市 湖畔,1989-03-11,営業三課
14776,川島,カワシマ,kawashima,光良,テルヨシ,teruyoshi,男,9880415 宮城県 本吉郡南三陸町 歌津田の浦,1968-03-16,営業二課
14843,美木,ミキ,miki,光,ヒカル,hikaru,女,0280512 岩手県 遠野市 東上組町,1996-08-16,営業三課
14887,相川,ｱｲｶﾜ,aikawa,瞬,シュン,shun,男,8100028 福岡県 福岡市中央区 浄水通,1994-11-14,営業二課
14906,斉藤,ｻｲﾄｳ,saitou,聡,サトシ,satoshi,男,6751342 兵庫県 小野市 阿形町,1973-04-25,営業三課
14933,寺島,テラシマ,terashima,良介,リョウスケ,ryousuke,男,0260042 岩手県 釜石市 源太沢町,1990-09-12,営業二課
14954,神崎,カンザキ,kannzaki,瞬(下の名前),シュン,shun,男,2770823 千葉県 柏市 布施新町,1974-08-18,営業四課
14963,松下,マツシタ,matsushita,智花,トモカ,tomoka,女,6008162 京都府 京都市下京区 堺町,1968-12-10,営業一課
14985,秦,ハタ,hata,ケンイチ,ケンイチ,kenichi,男,1631113 東京都 新宿区 西新宿新宿スクエアタワー,1975-10-31,営業五課
15014,新垣,ﾆｲｶﾞｷ,niigaki,勇一,ユウイチ,yuuichi,男,5900985 大阪府 堺市堺区 戎島町,1997-07-07,営業一課
15032,重松,シゲマツ,shigematsu,慶二,ケイジ,keiji,男,9811517 宮城県 角田市 毛萱,1969-02-14,営業二課
15133,品川,ｼﾅｶﾞﾜ,shinagawa,怜奈,レイナ,reina,女,5030957 岐阜県 大垣市 上屋,1992-12-23,営業二課
15142,阿部,アベ,abe,勇,ユウ,yuu,女,9301413 富山県 中新川郡立山町 天狗平,1968-03-28,営業五課
15154,庄司,ｼｮｳｼﾞ,shouji,右京,ウキョウ,ukyou,男,3290319 栃木県 栃木市 藤岡町中根,1971-01-27,営業三課
15221,小倉,オグラ,ogura,妃里,ユリ,yuri,女,5600011 大阪府 豊中市 上野西,1980-02-26,営業五課
15306,境,ｻｶｲ,sakai,あき(アキ),アキ,Aki,女,3001335 茨城県 稲敷郡河内町 生板鍋子新田,1976-07-31,営業二課
15376,妹尾,ｾｵ,pseo,晋也(シンヤ),シンヤ,Shinya,男,9302237 富山県 富山市 打出,1997-06-22,営業四課
15386,哀川,アイカワ,aikawa,季衣,トシエ,Toshie,女,8640026 熊本県 荒尾市 牛水,1971-11-23,営業四課
15447,本田,ﾎﾝﾀﾞ,honnda,育子,イクコ,ikuko,女,2430112 神奈川県 愛甲郡清川村 煤ケ谷,1991-06-20,営業三課
15568,庄司,ショウジ,shouji,勇,ユウ,yuu,女,6691331 兵庫県 三田市 広野,1987-04-16,営業二課
15624,永瀬,ナガセ,nagase,明慶,アキヨシ,akiyoshi,男,5030004 岐阜県 大垣市 新開町,1970-05-23,営業四課
15625,喜多,キタ,kita,夏希,ナツキ,natsuki2,女,6110042 京都府 宇治市 小倉町,1973-03-02,営業二課
15648,高樹,タカギ,takagi,莉央(リオ),リオ,Rio,女,5142317 三重県 津市 安濃町前野,1971-09-23,営業三課
15708,吉川,ﾖｼｶﾜ,yoshikawa,寛治,カンジ,kanji,男,8800877 宮崎県 宮崎市 宮脇町,1996-04-12,営業四課
15729,川本,ｶﾜﾓﾄ,kawamoto,洋,ヨウ,You,男,8750075 大分県 臼杵市 中尾,1974-03-07,営業五課
15735,武,タケ,take,有海,アミ,ami,女,9896133 宮城県 大崎市 古川西荒井,1997-01-10,営業二課
15739,合田,ｱｲﾀﾞ,aida,愛,アイ,ai,女,5316013 大阪府 大阪市北区 大淀中梅田スカイビルタワーイース,1981-04-22,営業五課
15776,武,タケ,stake,瞬,シュン,shun,男,2206002 神奈川県 横浜市西区 みなとみらいクイーンズタワーＡ,1987-02-20,営業一課
15803,小田,オダ,oda,功補,コウスケ,kousuke,男,6730862 兵庫県 明石市 松が丘,2001-05-02,営業五課
15810,坂本,サカモト,sakamoto,亮,リョウ,ryou,男,1506136 東京都 渋谷区 渋谷渋谷スクランブルスクエア,1969-08-25,営業二課
15817,菅野,ｽｶﾞﾉ,szugano,達士,タツヒト,Tatsuhito,男,7400062 山口県 玖珂郡和木町 瀬田,1971-10-22,営業五課
15835,小島,コジマ,kojima,雅功,マサトシ,Masatoshi,男,7840020 高知県 安芸市 西浜,1983-07-14,営業五課
15881,寺尾,テラオ,terao,理紗,リサ,risa,女,6060098 京都府 京都市左京区 上高野沢渕町,1978-12-16,営業四課
15904,山形,ヤマガタ,yamagata,茜,アカネ,Akane,女,7560832 山口県 山陽小野田市 南竜王町,1983-12-21,営業一課
15909,金子,カネコ,kaneko,美希,ミキ,miki,女,9902433 山形県 山形市 鳥居ケ丘,1989-10-14,営業二課
15909,武田,タケダ,takeda,広司(名),コウジ,kouji,男,9812186 宮城県 伊具郡丸森町 小坊木北,1981-11-15,営業四課
15912,下川,シモカワ,shimokawa,一徳,イットク,ittoku,男,8160873 福岡県 春日市 日の出町,1984-09-08,営業二課
15914,菅野,カンノ,kanno,沙耶,サヤ,Saya,女,5690063 大阪府 高槻市 南庄所町,1990-02-08,営業五課
15949,庄司,ショウジ,shouji,幸子,サチコ,sachiko,女,8330047 福岡県 筑後市 若菜,1992-08-04,営業二課
15974,荻原,ハギワラ,hagiwara,育二(first),イクジ,ikuji,男,9635683 福島県 東白川郡棚倉町 下山本,1993-10-02,営業四課
16074,塩谷,ｼｵﾔ,shioya,克実,カツミ,katsumi,男,4092402 山梨県 南巨摩郡身延町 下八木沢,1987-01-28,営業一課
16074,近藤,コンドウ,konndou,広司,コウジ,kouji,男,7080822 岡山県 津山市 林田,1999-09-03,営業四課
16082,井手,イデ,ide,さやか,サヤカ,sayaka,女,9800866 宮城県 仙台市青葉区 川内三十人町,1999-12-25,営業三課
16083,若杉,ﾜｶｽｷﾞ,wakaqsugi,美咲,ミサキ,misaki,女,3211506 栃木県 日光市 足尾町下間藤,1969-05-05,営業一課
16085,児玉,コダマ,kodama,未來(ミライ),ミライ,Mirai,女,8171234 長崎県 対馬市 豊玉町佐志賀,1993-06-12,営業四課
16098,坂本,サカモト,sakamoto,ひとみ,ヒトミ,Hitomi,女,8533322 長崎県 南松浦郡新上五島町 阿瀬津郷,1997-11-16,営業四課
16136,阪口,サカグチ,sakaguchi,(名前.)慶二,ケイジ,Keiji,男,4020033 山梨県 都留市 境,1971-04-05,営業一課
16168,荻原,ﾊｷﾞﾜﾗ,hagiwara,亜希,アキ,aki,女,6660215 兵庫県 川辺郡猪名川町 島,1992-11-23,営業一課
16175,豊田,トヨタ,toyota,さやか,サヤカ,Sayaka,女,9638033 福島県 郡山市 亀田,1972-12-31,営業一課
16194,緒形,ｵｶﾞﾀ,ogata,華子,ハナコ,hanako,女,5011183 岐阜県 岐阜市 則松,1990-03-07,営業一課
16209,本田,ホンダ,honnda,(名)奈央,ナオ,nao,女,9380024 富山県 黒部市 高橋,1985-07-13,営業四課
16216,織田,ｵﾀﾞ,oeda,浩介,コウスケ,Kousuke,男,9230948 石川県 小松市 錦町,1994-11-11,営業二課
16237,安藤,アンドウ,anndou,陽介,ヨウスケ,yousuke,男,6048343 京都府 京都市中京区 上黒門町,1991-04-05,営業四課
16317,新垣,ニイガキ,niigaki,まひる,マヒル,mahiru,女,5110423 三重県 いなべ市 北勢町平野新田,1980-12-30,営業三課
16354,川村,カワムラ,kawamura,知世,チセ,chise,女,2430217 神奈川県 厚木市 三田南,1983-07-22,営業二課
16364,松下,マツシタ,matsushita,賢治,ケンジ,Kenji,男,4060036 山梨県 笛吹市 石和町窪中島,1992-08-19,営業二課
16390,大野,オオノ,oono,なつみ,ナツミ,natsumi,女,1630518 東京都 新宿区 西新宿新宿野村ビル,1996-10-27,営業四課
16430,松井,マツイ,matsrui,美佳,ミカ,mika,女,7550035 山口県 宇部市 西琴芝,1992-11-15,営業五課
16440,菅野,カンノ,kanno,功補(コウスケ),コウスケ,kousuke,男,3191107 茨城県 那珂郡東海村 豊白,1969-07-28,営業五課
16502,多岐川,タキガワ,takigawa,美紀,ミキ,miki,女,5091105 岐阜県 加茂郡白川町 河岐,1996-04-21,営業三課
